Solution found!
0 [8, 1, 6, 9, 10, 5, 7, 0, 3, 4, 11, 2]; h(n) = 30
l [8, 1, 6, 9, 10, 5, 7, 2, 3, 4, 11, 0]; h(n) = 27
g [8, 1, 6, 9, 10, 5, 0, 2, 3, 4, 11, 7]; h(n) = 25
d [8, 1, 6, 0, 10, 5, 9, 2, 3, 4, 11, 7]; h(n) = 25
h [8, 1, 6, 2, 10, 5, 9, 0, 3, 4, 11, 7]; h(n) = 22
g [8, 1, 6, 2, 10, 5, 0, 9, 3, 4, 11, 7]; h(n) = 22
c [8, 1, 0, 2, 10, 5, 6, 9, 3, 4, 11, 7]; h(n) = 21
f [8, 1, 5, 2, 10, 0, 6, 9, 3, 4, 11, 7]; h(n) = 21
i [8, 1, 5, 2, 10, 3, 6, 9, 0, 4, 11, 7]; h(n) = 19
e [8, 1, 5, 2, 0, 3, 6, 9, 10, 4, 11, 7]; h(n) = 16
a [0, 1, 5, 2, 8, 3, 6, 9, 10, 4, 11, 7]; h(n) = 13
b [1, 0, 5, 2, 8, 3, 6, 9, 10, 4, 11, 7]; h(n) = 13
f [1, 3, 5, 2, 8, 0, 6, 9, 10, 4, 11, 7]; h(n) = 12
j [1, 3, 5, 2, 8, 4, 6, 9, 10, 0, 11, 7]; h(n) = 9
i [1, 3, 5, 2, 8, 4, 6, 9, 0, 10, 11, 7]; h(n) = 9
e [1, 3, 5, 2, 0, 4, 6, 9, 8, 10, 11, 7]; h(n) = 8
f [1, 3, 5, 2, 4, 0, 6, 9, 8, 10, 11, 7]; h(n) = 8
c [1, 3, 0, 2, 4, 5, 6, 9, 8, 10, 11, 7]; h(n) = 6
d [1, 3, 2, 0, 4, 5, 6, 9, 8, 10, 11, 7]; h(n) = 6
g [1, 3, 2, 6, 4, 5, 0, 9, 8, 10, 11, 7]; h(n) = 8
l [1, 3, 2, 6, 4, 5, 7, 9, 8, 10, 11, 0]; h(n) = 4
k [1, 3, 2, 6, 4, 5, 7, 9, 8, 10, 0, 11]; h(n) = 4
h [1, 3, 2, 6, 4, 5, 7, 0, 8, 10, 9, 11]; h(n) = 4
g [1, 3, 2, 6, 4, 5, 0, 7, 8, 10, 9, 11]; h(n) = 4
d [1, 3, 2, 0, 4, 5, 6, 7, 8, 10, 9, 11]; h(n) = 2
